ID,Latitude,Longitude,VH,VV,date,.geo
345,9.6618,39.487,-23.505960910815503,-15.147902471329637,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.486971064071476,9.66183970656214]}"
346,9.6975,39.262,-23.456685256535792,-15.225724109365562,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.262040421193625,9.697539608558984]}"
347,9.7467,39.662,-19.46857261962451,-15.497407576717633,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.66195873670753,9.746743497933268]}"
348,9.7858,39.196,-23.89081979897184,-15.338337862934466,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.196000257686116,9.785769185301834]}"
349,9.7858,39.196,-23.89081979897184,-15.338337862934466,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.196000257686116,9.785769185301834]}"
350,9.8523,39.205,-19.944403744554332,-13.957273583419136,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.2049773290488,9.852332268977744]}"
351,9.8848,39.158,-20.85715835948357,-12.838538002698188,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.158023117340896,9.884827667938243]}"
352,9.9064,39.158,-23.103890956882008,-18.414887863962228,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.15803345063463,9.906444252574664]}"
353,9.9375,39.201,-15.719450638462892,-14.69889602219739,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.201016186374424,9.937534578340323]}"
354,9.9817,39.23,-18.796094381541483,-12.065553681198503,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.229965983798884,9.98174368750194]}"
372,9.9996,39.749,-17.142780680575434,-14.875919349154998,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.74895769790696,9.999612208751437]}"
373,10.029,39.746,-19.39794763862332,-12.48495448241693,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.74601402794458,10.029011303985229]}"
374,10.135,39.676,-18.234831620244748,-12.64469145710352,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.6759753655639,10.134975366800207]}"
375,10.15,39.302,-19.247337999100395,-14.838344923943607,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.302018374453425,10.15000286286181]}"
376,10.155,39.697,-19.840068431388755,-11.856856530590992,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.69701225285705,10.155008794645719]}"
377,10.156,39.768,-15.054045637654529,-12.19526348355762,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.76803142413491,10.156025863147741]}"
378,10.248,39.408,-21.581696876709593,-14.907539640134184,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.40803387171767,10.248018266851455]}"
379,10.291,39.492,-20.251934586703378,-16.723365889309036,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.49201614625188,10.291042442988916]}"
380,10.312,39.561,-17.590167867569132,-11.221385775172196,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.561002385577744,10.312002803474407]}"
381,10.323,39.651,-15.09553584076987,-12.34152214262246,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.650983241111845,10.322958031555183]}"
399,9.7391,39.219,-19.8260073106351,-15.161455909489447,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.21903954129081,9.739084779806186]}"
400,9.7884,39.188,-18.533618694398033,-16.76834516459127,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.18797745183811,9.78839666381493]}"
401,9.8384,39.21,-19.149952690886103,-15.998569587703578,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.20998469982939,9.83840050795163]}"
402,9.8843,39.158,-18.728520838858827,-11.903926024168356,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.1580228582326,9.884284991816434]}"
403,10.411,39.268,-18.30801998476604,-12.674453103272894,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.26800610477056,10.41096123317415]}"
417,9.4532,39.382,-17.940148083265008,-14.94522909455905,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.38200760555052,9.453222486547457]}"
418,9.5559,39.48,-19.920808442498338,-13.14883464239344,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.47998565514254,9.555938653607]}"
419,9.6194,39.369,-18.788501778041084,-15.69654880632334,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.368977445592854,9.6193864807797]}"
420,9.6558,39.397,-10.05784873947862,0.9734405904148232,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.39699957119658,9.655804999598137]}"
421,9.6873,39.272,-17.160684905600625,-15.616820464068743,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.27196869181868,9.687311430650212]}"
455,9.6554,38.818,-17.977920763956604,-16.160297960917006,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.818016200962404,9.655443133559777]}"
521,9.4579,39.385,-21.57052359020405,-13.353826808002069,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.38501894997875,9.45792242651317]}"
522,9.8657,39.712,-18.682057917913703,-11.319994266531335,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.71199056087549,9.865662002231614]}"
535,10.065,39.438,-22.513492272848517,-12.482782352131716,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.43800918763519,10.065014306980192]}"
536,10.078,39.48,-16.599938171021055,-12.686866630613412,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.48000797574471,10.077979729867504]}"
537,10.086,39.489,-16.93632539307673,-14.653835160711637,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.4889639015381,10.08601595135753]}"
538,10.088,39.463,-20.074584201083855,-11.452063156024115,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.462956059549825,10.088043181378167]}"
539,10.102,39.49,-21.788379639068015,-17.027401199842323,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.48999203362038,10.102022679885696]}"
540,10.123,39.501,-17.42406461496072,-11.887725651342157,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.500976917570945,10.122988680875524]}"
541,10.142,39.661,-20.099939887554928,-15.657259762765367,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.6610203279073,10.14196961712719]}"
542,10.146,39.518,-20.538194965729403,-11.692790627661893,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.51799119004111,10.14602491892482]}"
543,10.169,39.559,-21.012073227085153,-11.215572750451017,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.559016679600155,10.169020027901722]}"
544,10.17,39.651,-18.732572441795114,-14.391575353504429,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.651036389413,10.170025769843603]}"
545,10.175,39.595,-17.991514418611885,-8.907664747180558,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59499517950735,10.175016143326973]}"
546,10.182,39.636,-20.71585625949506,-13.534173476183197,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.63599771880186,10.181993334959142]}"
560,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
561,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
562,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
563,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
564,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
565,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
566,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
567,10.037,39.587,-18.26452227138486,-5.900733242364265,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.58698517822929,10.037018123486915]}"
568,10.06,39.639,-17.899556931159715,-14.83929193192554,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.639042785729224,10.05998415125222]}"
569,10.08,39.555,-20.4474791743757,-17.236127286780818,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55502962041013,10.080032808736526]}"
570,10.091,39.652,-20.20550336983476,-15.64979807333213,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.651972134495935,10.090979784140691]}"
571,10.113,39.653,-18.3283558702728,-10.426111693013986,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.653020559368166,10.113044982655659]}"
572,10.119,39.619,-17.683134817507554,-12.142155636222965,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.61898785000559,10.118989323634327]}"
